Year,Month,Landfill,Trips,Tonnage,Month_Number,Quarter,Festive_Period,Population_Density,Landfill_Encoded
2020,January,Olusosun,10627.0,107577.0,1,1,1,15000,4
2020,January,Abule-Egba,721.0,6489.0,1,1,1,12000,0
2020,January,Shomolu,1165.0,10750.0,1,1,1,13000,5
2020,January,Badagry,191.0,1719.0,1,1,1,8000,1
2020,January,Epe,1393.0,15516.0,1,1,1,7000,2
2020,January,Ikorodu,1175.0,10125.0,1,1,1,11000,3
2020,February,Olusosun,12457.0,131525.0,2,1,0,15000,4
2020,February,Abule-Egba,789.0,7101.0,2,1,0,12000,0
2020,February,Shomolu,1316.0,12064.0,2,1,0,13000,5
2020,February,Badagry,235.0,2115.0,2,1,0,8000,1
2020,February,Epe,1869.0,21701.0,2,1,0,7000,2
2020,February,Ikorodu,1385.0,12555.0,2,1,0,11000,3
2020,March,Olusosun,8467.0,89740.0,3,1,0,15000,4
2020,March,Abule-Egba,1192.0,10738.0,3,1,0,12000,0
2020,March,Shomolu,1014.0,9366.0,3,1,0,13000,5
2020,March,Badagry,253.0,2277.0,3,1,0,8000,1
2020,March,Epe,1617.0,25733.0,3,1,0,7000,2
2020,March,Ikorodu,1090.0,10019.0,3,1,0,11000,3
2020,April,Olusosun,6603.0,70356.0,4,2,0,15000,4
2020,April,Abule-Egba,1219.0,11031.0,4,2,0,12000,0
2020,April,Shomolu,737.0,6833.0,4,2,0,13000,5
2020,April,Badagry,215.0,1935.0,4,2,0,8000,1
2020,April,Epe,1183.0,18518.0,4,2,0,7000,2
2020,April,Ikorodu,962.0,8850.0,4,2,0,11000,3
2020,May,Olusosun,7872.0,88428.0,5,2,0,15000,4
2020,May,Abule-Egba,235.0,2150.0,5,2,0,12000,0
2020,May,Shomolu,734.0,6756.0,5,2,0,13000,5
2020,May,Badagry,226.0,2025.0,5,2,0,8000,1
2020,May,Epe,1089.0,12880.0,5,2,0,7000,2
2020,May,Ikorodu,931.0,8678.0,5,2,0,11000,3
2020,June,Olusosun,6364.0,69574.0,6,2,0,15000,4
2020,June,Abule-Egba,931.0,8379.0,6,2,0,12000,0
2020,June,Shomolu,689.0,6361.0,6,2,0,13000,5
2020,June,Badagry,140.0,1260.0,6,2,0,8000,1
2020,June,Epe,1110.0,12466.0,6,2,0,7000,2
2020,June,Ikorodu,1853.0,17476.0,6,2,0,11000,3
2020,July,Olusosun,5742.0,66749.0,7,3,0,15000,4
2020,July,Abule-Egba,762.0,6845.0,7,3,0,12000,0
2020,July,Shomolu,3509.0,32176.0,7,3,0,13000,5
2020,July,Badagry,110.0,990.0,7,3,0,8000,1
2020,July,Epe,1405.0,15240.0,7,3,0,7000,2
2020,July,Ikorodu,2245.0,20707.0,7,3,0,11000,3
2020,August,Olusosun,7436.0,78675.0,8,3,0,15000,4
2020,August,Abule-Egba,363.0,3267.0,8,3,0,12000,0
2020,August,Shomolu,4044.0,36926.0,8,3,0,13000,5
2020,August,Badagry,66.0,594.0,8,3,0,8000,1
2020,August,Epe,1588.0,18878.0,8,3,0,7000,2
2020,August,Ikorodu,1262.0,12493.0,8,3,0,11000,3
2020,September,Olusosun,9260.0,97693.0,9,3,0,15000,4
2020,September,Shomolu,5367.0,49338.0,9,3,0,13000,5
2020,September,Badagry,140.0,1260.0,9,3,0,8000,1
2020,September,Epe,1545.0,15211.0,9,3,0,7000,2
2020,September,Ikorodu,1535.0,14983.0,9,3,0,11000,3
2020,October,Olusosun,6488.0,73277.0,10,4,0,15000,4
2020,October,Shomolu,4183.0,38397.0,10,4,0,13000,5
2020,October,Badagry,87.0,783.0,10,4,0,8000,1
2020,October,Epe,1082.0,10269.0,10,4,0,7000,2
2020,October,Ikorodu,1225.0,12230.0,10,4,0,11000,3
2020,November,Olusosun,8309.0,89155.0,11,4,0,15000,4
2020,November,Shomolu,5226.0,47719.0,11,4,0,13000,5
2020,November,Badagry,93.0,837.0,11,4,0,8000,1
2020,November,Epe,1509.0,14040.0,11,4,0,7000,2
2020,November,Ikorodu,1415.0,13533.0,11,4,0,11000,3
2020,December,Olusosun,8676.0,94769.0,12,4,1,15000,4
2020,December,Shomolu,5164.0,46917.0,12,4,1,13000,5
2020,December,Badagry,128.0,1152.0,12,4,1,8000,1
2020,December,Epe,1626.0,15265.0,12,4,1,7000,2
2020,December,Ikorodu,1612.0,15780.0,12,4,1,11000,3
2021,January,Olusosun,8170.0,89103.0,1,1,1,15000,4
2021,January,Abule-Egba,4470.0,40509.0,1,1,1,12000,0
2021,January,Shomolu,150.0,1350.0,1,1,1,13000,5
2021,January,Badagry,1751.0,19551.5,1,1,1,8000,1
2021,January,Epe,1607.0,15720.0,1,1,1,7000,2
2021,January,Ikorodu,16148.0,166233.5,1,1,1,11000,3
2021,February,Olusosun,5759.0,61298.0,2,1,0,15000,4
2021,February,Abule-Egba,4204.0,39076.0,2,1,0,12000,0
2021,February,Shomolu,114.0,1068.0,2,1,0,13000,5
2021,February,Badagry,1277.0,16503.5,2,1,0,8000,1
2021,February,Epe,1182.0,11340.0,2,1,0,7000,2
2021,February,Ikorodu,12536.0,129285.5,2,1,0,11000,3
2021,March,Olusosun,9501.0,103257.0,3,1,0,15000,4
2021,March,Abule-Egba,5219.0,48067.0,3,1,0,12000,0
2021,March,Shomolu,145.0,1305.0,3,1,0,13000,5
2021,March,Badagry,1635.0,22238.0,3,1,0,8000,1
2021,March,Epe,1602.0,15725.5,3,1,0,7000,2
2021,March,Ikorodu,18102.0,190592.5,3,1,0,11000,3
2021,April,Olusosun,9130.0,96372.0,4,2,0,15000,4
2021,April,Abule-Egba,4943.0,45394.0,4,2,0,12000,0
2021,April,Shomolu,148.0,1332.0,4,2,0,13000,5
2021,April,Badagry,1480.0,18811.5,4,2,0,8000,1
2021,April,Epe,1502.0,14665.5,4,2,0,7000,2
2021,April,Ikorodu,17203.0,176575.0,4,2,0,11000,3
2021,May,Olusosun,9124.0,101204.0,5,2,0,15000,4
2021,May,Abule-Egba,4841.0,44285.0,5,2,0,12000,0
2021,May,Shomolu,140.0,1260.0,5,2,0,13000,5
2021,May,Badagry,1417.0,16914.5,5,2,0,8000,1
2021,May,Epe,1390.0,13684.0,5,2,0,7000,2
2021,May,Ikorodu,16912.0,177347.5,5,2,0,11000,3
2021,June,Olusosun,12399.0,134498.0,6,2,0,15000,4
2021,June,Abule-Egba,7264.0,66476.0,6,2,0,12000,0
2021,June,Shomolu,205.0,1845.0,6,2,0,13000,5
2021,June,Badagry,2127.0,24109.0,6,2,0,8000,1
2021,June,Epe,2030.0,19395.0,6,2,0,7000,2
2021,June,Ikorodu,24025.0,250337.0,6,2,0,11000,3
2021,July,Olusosun,8521.0,94152.0,7,3,0,15000,4
2021,July,Abule-Egba,4914.0,44996.0,7,3,0,12000,0
2021,July,Shomolu,141.0,1269.0,7,3,0,13000,5
2021,July,Badagry,1355.0,15676.5,7,3,0,8000,1
2021,July,Epe,1355.0,13055.0,7,3,0,7000,2
2021,July,Ikorodu,16286.0,169148.5,7,3,0,11000,3
2021,August,Olusosun,8940.0,98647.5,8,3,0,15000,4
2021,August,Abule-Egba,4649.0,42709.0,8,3,0,12000,0
2021,August,Shomolu,101.0,909.0,8,3,0,13000,5
2021,August,Badagry,1346.0,14683.0,8,3,0,8000,1
2021,August,Epe,1431.0,13657.0,8,3,0,7000,2
2021,August,Ikorodu,16467.0,170605.0,8,3,0,11000,3
2021,September,Olusosun,8496.0,92911.5,9,3,0,15000,4
2021,September,Abule-Egba,4426.0,40343.0,9,3,0,12000,0
2021,September,Shomolu,99.0,855.0,9,3,0,13000,5
2021,September,Badagry,1407.0,16276.0,9,3,0,8000,1
2021,September,Epe,1341.0,12628.0,9,3,0,7000,2
2021,September,Ikorodu,15769.0,163013.0,9,3,0,11000,3
2021,October,Olusosun,9110.0,81990.0,10,4,0,15000,4
2021,October,Abule-Egba,4796.0,43164.0,10,4,0,12000,0
2021,October,Shomolu,91.0,819.0,10,4,0,13000,5
2021,October,Badagry,1395.0,12555.0,10,4,0,8000,1
2021,October,Epe,1235.0,11115.0,10,4,0,7000,2
2021,October,Ikorodu,16627.0,149643.0,10,4,0,11000,3
2021,November,Olusosun,7570.0,68130.0,11,4,0,15000,4
2021,November,Abule-Egba,2227.0,20043.0,11,4,0,12000,0
2021,November,Shomolu,90.0,810.0,11,4,0,13000,5
2021,November,Badagry,1840.0,16560.0,11,4,0,8000,1
2021,November,Epe,659.0,5931.0,11,4,0,7000,2
2021,November,Ikorodu,12386.0,111474.0,11,4,0,11000,3
2021,December,Olusosun,11169.0,106489.5,12,4,1,15000,4
2021,December,Abule-Egba,4817.0,43653.0,12,4,1,12000,0
